Tag,content
p,The Project, Third phase of Technical Education Quality Improvement Programme (referred to as TEQIP-III) is fully integrated with the Twelfth Five-year Plan objectives for Technical Education as a key component for improving the quality of Engineering Education in existing institutions with a special consideration for Low Income States and Special Category States and support to strengthen few affiliated technical universities to improve their policy, academic and management practices.
p,The Project will focus on the following objectives:
p,The Institute has been selected as a mentor institute (sub component 1.3) in TEQIP-III & assigned Jawaharlal Nehru Govt. Engineering College, Sundernagar (sub component 1.1) as a mentee institute vide the letter no. AC/TEQIP-III/MHRD/2017 received from NPIU on dated 30/07/2017. The TEQIP-III has already commenced from 1st April 2017 and shall conclude by 31st March 2020.
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,TEQIP-III
h3,TEQIP-III Documents
h3,TEQIP-II
h3,Research
h3,Academics
h3,Facilities
h3,Information

6:http://pec.ac.in/admissions
p,Quick Links
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Admissions
h3,Institute
h3,Research
h3,Academics
h3,Facilities
h3,Information

7:http://pec.ac.in/tnp/about-cell
p,Quick Links
p,Career Development & Guidance Centre offers an all-round career solution to the students. Centre guides the students to decide and pursue their dream careers in different sectors be it engineering, IT, Analytics, Consulting , research and development, Operations etc . The whole placement process is organised and executed by this centre . The campus interviews are held under the supervison and jurisdiction of this centre and relevant feedback is obtained fom the industry . Career Development and Guidance Centre works hard to arrange full semester industrial internship , which is stipulated under the academic curriculum . The centre has kept a close liaison with many companies in the country.
p,The centre also arranges career talks for dissemination of knowledge regarding the employment opportunities in the industry related to the relevant fields and interest of the students . Centre keeps record of the students who undergo internships and the companies which come for recruitment. In addition Finishing School / Soft Skills Development Workshops are also organised to improve the communication skills of students.
p,Centre encourages visits to the industries by the institute students and arranges industrial problems to be worked out by students as part of their projects . It also takes suggestions from members of the Industry regarding designing / changing of curriculum .
p,Centre takes care of :
p,a) Career Development & Guidance Program
p,b) Internship & Full Time Placement Activities
p,c) Facilitate Pre-Placement visits to the companies
p,d) Communication, Networking & Relationship Building with Potential Recruiters.
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Career Development & Guidance Centre
h3,Research
h3,Academics
h3,Facilities
h3,Information

8:http://pec.ac.in/tenders
p,Quick Links
p,E-Tenders are invited for Purchase of Microsoft Campus Agreement by Punjab Engineering College (Deemed to be University) Chandigarh Sector 12, Chandigarh 160012
p,Archive of Previous Tenders
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Institute
h3,Research
h3,Academics
h3,Facilities
h3,Information

9:http://pec.ac.in/rules-guidelines-forms/proforma-mandatory-disclosure
p,Quick Links
p,Proforma for mandatory disclosure of information about programmes by institutions to be included in their respective information brochure, displayed on their website and to be submitted to NBA every year well before the admission process.
p,Academic Year
p,2017-18
p,2016-17
p,UG [4 Years Program(s)]: Sanctioned (approved) students intake
p,750
p,743
p,PG [2 Years Program(s)]
p,287
p,287
p,Industrial Consultancy, Research and Development (during the past 5 years):
p,Fee Charged (per annum) (in Rs.):
p,Note: Suppression and/or misrepresentation of information would attract appropriate penal action.
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Institute
h3,Research
h3,Academics
h3,Facilities
h3,Information

10:http://pec.ac.in/sites/default/files/uploads/security_policy_draft_updated_0.pdf
11:http://pec.ac.in/sites/default/files/uploads/new_furniture_policy_2013_updated_0.pdf
12:http://pec.ac.in/sites/default/files/uploads/purchase_manual_guidelines_updated.docx
13:http://pec.ac.in/sites/default/files/uploads/vehicle_sticker_form_updated.pdf
14:http://pec.ac.in/sites/default/files/uploads/proforma_computer_peripherals_updated_0.pdf
15:http://pec.ac.in/sites/default/files/uploads/departure_performa_updated.pdf
16:http://pec.ac.in/sites/default/files/uploads/notice_and_performa_for_mobile_updated_0.pdf
17:http://pec.ac.in/sites/default/files/uploads/coursetrainingprogramproposalandotheforms-1_updated.pdf
18:http://pec.ac.in/sites/default/files/uploads/casualleave_updated.pdf
19:http://pec.ac.in/sites/default/files/uploads/earned_leave_updated.docx
20:http://pec.ac.in/sites/default/files/uploads/ex-Indialeaveform_updated.pdf
21:http://pec.ac.in/sites/default/files/uploads/undertaking_for_exindia_leave.pdf
22:http://pec.ac.in/sites/default/files/uploads/vacation_leave_form_faculty_updated.pdf
23:http://pec.ac.in/sites/default/files/uploads/vacation_leave_form_staff_updated.pdf
24:http://pec.ac.in/sites/default/files/uploads/equivalence_certificate_updated.pdf
25:http://pec.ac.in/sites/default/files/uploads/CAS- 2017 Date extend.pdf
26:http://pec.ac.in/sites/default/files/uploads/cas_notice_6-12-18.pdf
27:http://pec.ac.in/sites/default/files/uploads/PBAS%20performa%20prior%2011.07.16.doc
28:http://pec.ac.in/sites/default/files/uploads/PBAS%20performa%20after%2011.07.16.doc
29:http://pec.ac.in/sites/default/files/uploads/sar_letter.pdf
30:http://pec.ac.in/sites/default/files/uploads/sar_performa_13-16.doc
31:http://pec.ac.in/sites/default/files/uploads/sar_performa_16-17.docx
32:http://pec.ac.in/sites/default/files/uploads/application_form_for_final_payment_gazetted_officer_updated.pdf
33:http://pec.ac.in/sites/default/files/uploads/application_form_for_final_payment_in_death_case_updated.pdf
34:http://pec.ac.in/sites/default/files/uploads/application_form_for_final_payment_non_gazetted_officer_updated.pdf
35:http://pec.ac.in/sites/default/files/uploads/application_form_for_non_refundable_gpf_advance_updated.pdf
36:http://pec.ac.in/sites/default/files/uploads/application_form_for_submission_of_saving_documents_tds_updated.pdf
37:http://pec.ac.in/sites/default/files/uploads/application_for_temporary_advance_updated.pdf
38:http://pec.ac.in/sites/default/files/uploads/income_tax_assessmen_form_fy_2018-19_updated.pdf
39:http://pec.ac.in/sites/default/files/uploads/medical_performa_updated.pdf
40:http://pec.ac.in/sites/default/files/uploads/tada_performa_updated.xlsx
41:http://pec.ac.in/sites/default/files/uploads/viva_TA_DA_claim_updated.pdf
42:http://pec.ac.in/sites/default/files/uploads/toutnament_permission_sports.pdf
43:http://pec.ac.in/rules-guidelines-forms
p,Quick Links
p,Archive
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Institute
h3,Research
h3,Academics
h3,Facilities
h3,Information

44:http://pec.ac.in/library
p,Quick Links
p,Central Library offers its services to about 3000 users comprising of undergraduate, postgraduate students and research scholars of different branches of Engineering, Faculty and Staff from various departments of the Institute and retired Faculty of the Institute.
p,Library is housed in an area of 27000 sq. feet, having two interlinked buildings as Old Block and New Block. New Block is a spacious library extension block consisting of three separate floors with centrally air-conditioning facility.
p,Library is organized into various sections viz. Circular Section, Periodical Section, Reference Section, Multimedia Section, Newspaper/ Magazine Section, Technical Section, Book Bank (General and book bank SC/ST), Binding Section, which are manned by professionally qualified staff.
p,Library is member of INDEST-AICTE Consortium under the Ministry of HRD since 2003 and UGC-Infonet Consortium under INFLIBNET since 2011. However, based on the recommendation of an Expert Committee, the MHRD has formed e-ShodhSindhu merging three consortia initiatives, namely UGC-INFONET Digital Library Consortium, NLIST and INDEST-AICTE Consortium.
p,Lending Services
p,Monday to Friday 9 A.M. to 5 P.M.
p,Reading Halls
p,Monday to Friday 9 A.M. to 10 P.M.
p,Saturday, Sunday and Institute Holidays 9 A.M. to 5 P.M.
p,During Mid Term and End-Semester exam and a week before End-Semester Exam
p,All seven days 9 A.M. to 12 midnight
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Central Library
h3,Research
h3,Academics
h3,Facilities
h3,Information

45:http://pec.ac.in/teqip-third-phase
p,Archive
p,Quick Links
p,The Technical Education Quality Improvement Programme of Government of India (TEQIP)
p,The Technical Education Quality Improvement Programme aims to upscale and support ongoing efforts of GOI to improve quality of technical education and enhance existing capacities of the institutions to become dynamic, demand-driven, quality conscious, efficient and forward looking, responsive to rapid economic and technological developments occurring both at national and international levels.
p,The Project, Third phase of Technical Education Quality Improvement Programme (referred to as TEQIP-III) is fully integrated with the Twelfth Five-year Plan objectives for Technical Education as a key component for improving the quality of Engineering Education in existing institutions with a special consideration for Low Income States and Special Category States and support to strengthen few affiliated technical universities to improve their policy, academic and management practices.
p,The Project will focus on the following objectives:
p,The Institute has been selected as a mentor institute (sub component 1.3) in TEQIP-III & assigned Jawaharlal Nehru Govt. Engineering College, Sundernagar (sub component 1.1) as a mentee institute vide the letter no. AC/TEQIP-III/MHRD/2017 received from NPIU on dated 30/07/2017. The TEQIP-III has already commenced from 1st April 2017 and shall conclude by 31st March 2020.
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,TEQIP-III
h3,TEQIP-III Documents
h3,TEQIP-II
h3,Research
h3,Academics
h3,Facilities
h3,Information

46:http://pec.ac.in/admissions
p,Quick Links
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Admissions
h3,Institute
h3,Research
h3,Academics
h3,Facilities
h3,Information

47:http://pec.ac.in/tnp/about-cell
p,Quick Links
p,Career Development & Guidance Centre offers an all-round career solution to the students. Centre guides the students to decide and pursue their dream careers in different sectors be it engineering, IT, Analytics, Consulting , research and development, Operations etc . The whole placement process is organised and executed by this centre . The campus interviews are held under the supervison and jurisdiction of this centre and relevant feedback is obtained fom the industry . Career Development and Guidance Centre works hard to arrange full semester industrial internship , which is stipulated under the academic curriculum . The centre has kept a close liaison with many companies in the country.
p,The centre also arranges career talks for dissemination of knowledge regarding the employment opportunities in the industry related to the relevant fields and interest of the students . Centre keeps record of the students who undergo internships and the companies which come for recruitment. In addition Finishing School / Soft Skills Development Workshops are also organised to improve the communication skills of students.
p,Centre encourages visits to the industries by the institute students and arranges industrial problems to be worked out by students as part of their projects . It also takes suggestions from members of the Industry regarding designing / changing of curriculum .
p,Centre takes care of :
p,a) Career Development & Guidance Program
p,b) Internship & Full Time Placement Activities
p,c) Facilitate Pre-Placement visits to the companies
p,d) Communication, Networking & Relationship Building with Potential Recruiters.
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Career Development & Guidance Centre
h3,Research
h3,Academics
h3,Facilities
h3,Information

48:http://pec.ac.in/tenders
p,Quick Links
p,E-Tenders are invited for Purchase of Microsoft Campus Agreement by Punjab Engineering College (Deemed to be University) Chandigarh Sector 12, Chandigarh 160012
p,Archive of Previous Tenders
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Institute
h3,Research
h3,Academics
h3,Facilities
h3,Information

49:http://pec.ac.in/rules-guidelines-forms/proforma-mandatory-disclosure
p,Quick Links
p,Proforma for mandatory disclosure of information about programmes by institutions to be included in their respective information brochure, displayed on their website and to be submitted to NBA every year well before the admission process.
p,Academic Year
p,2017-18
p,2016-17
p,UG [4 Years Program(s)]: Sanctioned (approved) students intake
p,750
p,743
p,PG [2 Years Program(s)]
p,287
p,287
p,Industrial Consultancy, Research and Development (during the past 5 years):
p,Fee Charged (per annum) (in Rs.):
p,Note: Suppression and/or misrepresentation of information would attract appropriate penal action.
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Institute
h3,Research
h3,Academics
h3,Facilities
h3,Information

50:http://pec.ac.in/sites/default/files/uploads/security_policy_draft_updated_0.pdf
51:http://pec.ac.in/sites/default/files/uploads/new_furniture_policy_2013_updated_0.pdf
52:http://pec.ac.in/sites/default/files/uploads/purchase_manual_guidelines_updated.docx
53:http://pec.ac.in/sites/default/files/uploads/vehicle_sticker_form_updated.pdf
54:http://pec.ac.in/sites/default/files/uploads/proforma_computer_peripherals_updated_0.pdf
55:http://pec.ac.in/sites/default/files/uploads/departure_performa_updated.pdf
56:http://pec.ac.in/sites/default/files/uploads/notice_and_performa_for_mobile_updated_0.pdf
57:http://pec.ac.in/sites/default/files/uploads/coursetrainingprogramproposalandotheforms-1_updated.pdf
58:http://pec.ac.in/sites/default/files/uploads/casualleave_updated.pdf
59:http://pec.ac.in/sites/default/files/uploads/earned_leave_updated.docx
60:http://pec.ac.in/sites/default/files/uploads/ex-Indialeaveform_updated.pdf
61:http://pec.ac.in/sites/default/files/uploads/undertaking_for_exindia_leave.pdf
62:http://pec.ac.in/sites/default/files/uploads/vacation_leave_form_faculty_updated.pdf
63:http://pec.ac.in/sites/default/files/uploads/vacation_leave_form_staff_updated.pdf
64:http://pec.ac.in/sites/default/files/uploads/equivalence_certificate_updated.pdf
65:http://pec.ac.in/sites/default/files/uploads/CAS- 2017 Date extend.pdf
66:http://pec.ac.in/sites/default/files/uploads/cas_notice_6-12-18.pdf
67:http://pec.ac.in/sites/default/files/uploads/PBAS%20performa%20prior%2011.07.16.doc
68:http://pec.ac.in/sites/default/files/uploads/PBAS%20performa%20after%2011.07.16.doc
69:http://pec.ac.in/sites/default/files/uploads/sar_letter.pdf
70:http://pec.ac.in/sites/default/files/uploads/sar_performa_13-16.doc
71:http://pec.ac.in/sites/default/files/uploads/sar_performa_16-17.docx
72:http://pec.ac.in/sites/default/files/uploads/application_form_for_final_payment_gazetted_officer_updated.pdf
73:http://pec.ac.in/sites/default/files/uploads/application_form_for_final_payment_in_death_case_updated.pdf
74:http://pec.ac.in/sites/default/files/uploads/application_form_for_final_payment_non_gazetted_officer_updated.pdf
75:http://pec.ac.in/sites/default/files/uploads/application_form_for_non_refundable_gpf_advance_updated.pdf
76:http://pec.ac.in/sites/default/files/uploads/application_form_for_submission_of_saving_documents_tds_updated.pdf
77:http://pec.ac.in/sites/default/files/uploads/application_for_temporary_advance_updated.pdf
78:http://pec.ac.in/sites/default/files/uploads/income_tax_assessmen_form_fy_2018-19_updated.pdf
79:http://pec.ac.in/sites/default/files/uploads/medical_performa_updated.pdf
80:http://pec.ac.in/sites/default/files/uploads/tada_performa_updated.xlsx
81:http://pec.ac.in/sites/default/files/uploads/viva_TA_DA_claim_updated.pdf
82:http://pec.ac.in/sites/default/files/uploads/toutnament_permission_sports.pdf
83:http://pec.ac.in/rules-guidelines-forms
p,Quick Links
p,Archive
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Institute
h3,Research
h3,Academics
h3,Facilities
h3,Information

84:http://pec.ac.in/library
p,Quick Links
p,Central Library offers its services to about 3000 users comprising of undergraduate, postgraduate students and research scholars of different branches of Engineering, Faculty and Staff from various departments of the Institute and retired Faculty of the Institute.
p,Library is housed in an area of 27000 sq. feet, having two interlinked buildings as Old Block and New Block. New Block is a spacious library extension block consisting of three separate floors with centrally air-conditioning facility.
p,Library is organized into various sections viz. Circular Section, Periodical Section, Reference Section, Multimedia Section, Newspaper/ Magazine Section, Technical Section, Book Bank (General and book bank SC/ST), Binding Section, which are manned by professionally qualified staff.
p,Library is member of INDEST-AICTE Consortium under the Ministry of HRD since 2003 and UGC-Infonet Consortium under INFLIBNET since 2011. However, based on the recommendation of an Expert Committee, the MHRD has formed e-ShodhSindhu merging three consortia initiatives, namely UGC-INFONET Digital Library Consortium, NLIST and INDEST-AICTE Consortium.
p,Lending Services
p,Monday to Friday 9 A.M. to 5 P.M.
p,Reading Halls
p,Monday to Friday 9 A.M. to 10 P.M.
p,Saturday, Sunday and Institute Holidays 9 A.M. to 5 P.M.
p,During Mid Term and End-Semester exam and a week before End-Semester Exam
p,All seven days 9 A.M. to 12 midnight
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Central Library
h3,Research
h3,Academics
h3,Facilities
h3,Information

85:http://pec.ac.in/teqip-third-phase
p,Archive
p,Quick Links
p,The Technical Education Quality Improvement Programme of Government of India (TEQIP)
p,The Technical Education Quality Improvement Programme aims to upscale and support ongoing efforts of GOI to improve quality of technical education and enhance existing capacities of the institutions to become dynamic, demand-driven, quality conscious, efficient and forward looking, responsive to rapid economic and technological developments occurring both at national and international levels.
p,The Project, Third phase of Technical Education Quality Improvement Programme (referred to as TEQIP-III) is fully integrated with the Twelfth Five-year Plan objectives for Technical Education as a key component for improving the quality of Engineering Education in existing institutions with a special consideration for Low Income States and Special Category States and support to strengthen few affiliated technical universities to improve their policy, academic and management practices.
p,The Project will focus on the following objectives:
p,The Institute has been selected as a mentor institute (sub component 1.3) in TEQIP-III & assigned Jawaharlal Nehru Govt. Engineering College, Sundernagar (sub component 1.1) as a mentee institute vide the letter no. AC/TEQIP-III/MHRD/2017 received from NPIU on dated 30/07/2017. The TEQIP-III has already commenced from 1st April 2017 and shall conclude by 31st March 2020.
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,TEQIP-III
h3,TEQIP-III Documents
h3,TEQIP-II
h3,Research
h3,Academics
h3,Facilities
h3,Information

86:http://pec.ac.in/admissions
p,Quick Links
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Admissions
h3,Institute
h3,Research
h3,Academics
h3,Facilities
h3,Information

87:http://pec.ac.in/tnp/about-cell
p,Quick Links
p,Career Development & Guidance Centre offers an all-round career solution to the students. Centre guides the students to decide and pursue their dream careers in different sectors be it engineering, IT, Analytics, Consulting , research and development, Operations etc . The whole placement process is organised and executed by this centre . The campus interviews are held under the supervison and jurisdiction of this centre and relevant feedback is obtained fom the industry . Career Development and Guidance Centre works hard to arrange full semester industrial internship , which is stipulated under the academic curriculum . The centre has kept a close liaison with many companies in the country.
p,The centre also arranges career talks for dissemination of knowledge regarding the employment opportunities in the industry related to the relevant fields and interest of the students . Centre keeps record of the students who undergo internships and the companies which come for recruitment. In addition Finishing School / Soft Skills Development Workshops are also organised to improve the communication skills of students.
p,Centre encourages visits to the industries by the institute students and arranges industrial problems to be worked out by students as part of their projects . It also takes suggestions from members of the Industry regarding designing / changing of curriculum .
p,Centre takes care of :
p,a) Career Development & Guidance Program
p,b) Internship & Full Time Placement Activities
p,c) Facilitate Pre-Placement visits to the companies
p,d) Communication, Networking & Relationship Building with Potential Recruiters.
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Career Development & Guidance Centre
h3,Research
h3,Academics
h3,Facilities
h3,Information

88:http://pec.ac.in/tenders
p,Quick Links
p,E-Tenders are invited for Purchase of Microsoft Campus Agreement by Punjab Engineering College (Deemed to be University) Chandigarh Sector 12, Chandigarh 160012
p,Archive of Previous Tenders
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Institute
h3,Research
h3,Academics
h3,Facilities
h3,Information

89:http://pec.ac.in/rules-guidelines-forms
p,Quick Links
p,Archive
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Institute
h3,Research
h3,Academics
h3,Facilities
h3,Information

90:http://pec.ac.in/teqip-third-phase
p,Archive
p,Quick Links
p,The Technical Education Quality Improvement Programme of Government of India (TEQIP)
p,The Technical Education Quality Improvement Programme aims to upscale and support ongoing efforts of GOI to improve quality of technical education and enhance existing capacities of the institutions to become dynamic, demand-driven, quality conscious, efficient and forward looking, responsive to rapid economic and technological developments occurring both at national and international levels.
p,The Project, Third phase of Technical Education Quality Improvement Programme (referred to as TEQIP-III) is fully integrated with the Twelfth Five-year Plan objectives for Technical Education as a key component for improving the quality of Engineering Education in existing institutions with a special consideration for Low Income States and Special Category States and support to strengthen few affiliated technical universities to improve their policy, academic and management practices.
p,The Project will focus on the following objectives:
p,The Institute has been selected as a mentor institute (sub component 1.3) in TEQIP-III & assigned Jawaharlal Nehru Govt. Engineering College, Sundernagar (sub component 1.1) as a mentee institute vide the letter no. AC/TEQIP-III/MHRD/2017 received from NPIU on dated 30/07/2017. The TEQIP-III has already commenced from 1st April 2017 and shall conclude by 31st March 2020.
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,TEQIP-III
h3,TEQIP-III Documents
h3,TEQIP-II
h3,Research
h3,Academics
h3,Facilities
h3,Information

91:http://pec.ac.in/teqip-third-phase/improvement-teaching-facilities
p,Archive
p,Quick Links
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,TEQIP-III
h3,TEQIP-III Documents
h3,TEQIP-II
h3,Research
h3,Academics
h3,Facilities
h3,Information

92:http://pec.ac.in/teqip-third-phase/improve-student-learning
p,Archive
p,Quick Links
p,Faculty training
p,Staff Training
p,Enhancement of Research & Development & Innovation
p,Improving transition rates of all categories of students and non-cognitive skills of students
p,Academic Reforms
p,Non Academic Reforms
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,TEQIP-III
h3,TEQIP-III Documents
h3,TEQIP-II
h3,Research
h3,Academics
h3,Facilities
h3,Information

93:http://pec.ac.in/teqip-third-phase/student-employability
p,Archive
p,Quick Links
p,Increasing interaction with industry through establishment of Industry-Institute-Interaction Cell (IIIC)
p,Student career counselling and placement through establishment of Career Counseling Cell
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,TEQIP-III
h3,TEQIP-III Documents
h3,TEQIP-II
h3,Research
h3,Academics
h3,Facilities
h3,Information

94:http://pec.ac.in/teqip-third-phase/increasing-faculty-productivity-motivation
p,Archive
p,Quick Links
p,Sponsored research, consultancy and other revenue generating activities
p,Encouraging UG and Masters students to get associated with Industry oriented/sponsored research programmes under the guidance of senior faculty
p,Twinning Arrangements to Build Capacity and Improve Performance
p,Recruitment and retention of high quality faculty (through better faculty appraisal systems and the faculty recruitment plan) in focus States
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,TEQIP-III
h3,TEQIP-III Documents
h3,TEQIP-II
h3,Research
h3,Academics
h3,Facilities
h3,Information

95:http://pec.ac.in/teqip-third-phase/key-activities
p,Archive
p,Quick Links
p,Improvement in Teaching, Learning and Research Competence of Affiliated Institutions
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,TEQIP-III
h3,TEQIP-III Documents
h3,TEQIP-II
h3,Research
h3,Academics
h3,Facilities
h3,Information

96:http://pec.ac.in/teqip-third-phase/dileverables-institutions
p,Archive
p,Quick Links
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,TEQIP-III
h3,TEQIP-III Documents
h3,TEQIP-II
h3,Research
h3,Academics
h3,Facilities
h3,Information

97:http://pec.ac.in/teqip-third-phase/download-forms
p,Archive
p,Quick Links
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,TEQIP-III
h3,TEQIP-III Documents
h3,TEQIP-II
h3,Research
h3,Academics
h3,Facilities
h3,Information

98:http://pec.ac.in/teqip-third-phase/media-coverage
p,Archive
p,Quick Links
p,A Sensitization Workshop on Equity Action Plan (EAP) was organized at Punjab Engineering College (Deemed University) Chandigarh on 19th November 2018 by National Project Implementation Unit (NPIU), MHRD, New Delhi in association with the World Bank.
p,Mr. Cristian Aedo, Education Practice Manager, The World Bank and Ms. Namrata Tognatta, Education Specialist, The World Bank along with Dr. P.M. Khodke, Central Project Advisor, NPIU visited Punjab Engineering College, Chandigarh on 26th October’ 2018 under TEQIP-III project.
p,A three day Workshop for Faculty Mentors Induction Programme for New Students is being conducted by NPIU at auditorium of PEC University of Technology, Chandigarh under TEQIP-III project from 22nd to 24th September 2017.
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,TEQIP-III
h3,TEQIP-III Documents
h3,TEQIP-II
h3,Research
h3,Academics
h3,Facilities
h3,Information

99:http://pec.ac.in/teqip-third-phase/team
p,Archive
p,Quick Links
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,TEQIP-III
h3,TEQIP-III Documents
h3,TEQIP-II
h3,Research
h3,Academics
h3,Facilities
h3,Information

100:http://pec.ac.in/sites/default/files/uploads/teqip_expenditures.pdf
101:http://pec.ac.in/sites/default/files/uploads/pec_teqip_idp.pdf
102:http://pec.ac.in/sites/default/files/uploads/procuremnt_teqip.pdf
103:http://pec.ac.in/teqip
p,Quick Links
p,The Technical Education Quality Improvement Programme of Government of India (TEQIP)
